10.0 -17.780456961 68.0149552475
9.5 -40.4804390704 52.9531584444
9.0 -49.6593041328 47.7360344571
8.5 -43.1515670811 50.2169316334
8.0 -65.6543679931 49.4764773051
7.5 -57.9643123042 53.8547044879
7.0 -68.0771113271 50.2703002991
6.5 -71.2187922739 48.4186549515
6.0 -78.1176808596 45.5491843223
5.5 -64.917468146 46.4156155181
5.0 -61.9082385639 46.5721268441
4.5 -60.1401543165 48.058335918
4.0 -75.2636322154 45.2697950522
3.5 -76.3221783642 44.5786451257
3.0 -95.6595822937 37.1592140718
2.5 -120.671457221 39.2103880863
2.0 -148.697209517 40.2193005016
1.5 -176.36009147 35.1995144509
1.0 -182.457413491 35.3725096043
0.5 -185.564320158 35.4761722862
